categoria,subcategoria,nome,descricao,endereco,horario,entrega,telefone,telefone2
Saúde & Bem-estar,Academias / Artes Marciais,MAGUARI - CT Bolo Thai,"Muay Thai, muay thai infantil, box, Jiu Jitsu, funcional...",Augusto Montenegro em frente à SEDUC,Segunda a sábado das 7h às 12h e das 15h às 22h,Presencial,5591990233088,5591990233088
Saúde & Bem-estar,Academias / Artes Marciais,TENONÉ - AB Amée Brito,Academia,"Tenoné 2 - 5ª linha, Quadra C, No 3",Segunda a sábado das 8h às 12h e das 16h às 21h,Presencial,5591984986533,5591984986533
Saúde & Bem-estar,Clinica de Fisioterapia / Fisoterapeuta,"ESPAÇO VAGO para o seu negócio, Venha fazer parte da maior vitrine digital da região.",ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,5591985554004,5591985554004
Saúde & Bem-estar,Clínicas / Laboratórios,TENONÉ - LabClinic,"Exames laboratoriais, consultas, nutricionista, eletrocardiograma, ultrassom...","Tenoné - Alacid Nunes, 100 - Galeria Tenoné",Segunda a sábado das 7 às 12h e das 13 às 17h,Coleta a domicílio,5591980444602,5591982891650
Saúde & Bem-estar,Consultório Odontológico,MAGUARI - Consultório odontológico Dra. Camila Cavalcante,Atendemos a todos os procedimentos odontológicos,"Conj. Maguari - Principal, 52A - entre 4 e 5.",Segunda a sábado das 8h às 18h,Presencial,5591992037278,5591981161542
Saúde & Bem-estar,Consultório Odontológico,MAGUARI - Pró-Concept lab.,Ateliê de Prótese Dentária,"Conj. Maguari - Alameda 19, No 39",Segunda a sexta das 8h às 18h,Atende a domicílio,5591988945194,5591988945194
Saúde & Bem-estar,Escolinha de futebol / Natação,"ESPAÇO VAGO para o seu negócio, Venha fazer parte da maior vitrine digital da região.",ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,5591985554004,5591985554004
Saúde & Bem-estar,Farmácias,MAGUARI - Lucas Farma,Fármacia,Augusto Montenegro em frente ao ASSAÍ,Segunda a sábado das 8h às 12h30 e das 15h às 20h30,A combinar,5591998205768,5591998205768
Saúde & Bem-estar,Farmácias,MAGUARI - Drogaria Maguari,Fármacia,"Conj. Maguari - Principal, 13 em frete ao posto",Segunda a sábado das 7h30 às 22h,A combinar,5591982066599,5591982066599
Saúde & Bem-estar,Farmácias,MAGUARI - Maguari Pharma,Fármacia,"Conj. Maguari - Principal, 75 - entre 13 e 14","Segunda a sábado das 8h às 12h / 16h às 21h, domingo das 8h às 12h30",A combinar,5591984363028,5591984363028
Saúde & Bem-estar,Óticas,MAGUARI - Ótica Relopeças,"Armações, lentes, lentes de contato, consertos","Conj. Maguari - Principal, 38 - entre 5 e 6",Segunda a sábado das 8h às 13h e das 15h às 18h,Grátis,5591988527686,5591987330402
Saúde & Bem-estar,Óticas,TENONÉ - Ótica Semente,Ótica móvel,"Tenoné - Alacid Nunes, 148",Segunda a sábado das 8h às 12 e das 15h às 19h,Presencial,5591999651309,5591999651309
Saúde & Bem-estar,Óticas,MAGUARI - Ótica Suzy,"Exames de vista, armações, lentes, lentes de contato...",Augusto Montenegro em frente à SEDUC,Segunda a sábado das 8h às 12 e das 14h às 18h,A combinar,5591981405856,5591981029147
Saúde & Bem-estar,Óticas,TENONÉ - Ótica Belajô,"Armações, lentes, lentes de contato, consertos","Tenoné - Feira da sexta linha, Box 2",Segunda a sábado das 7h às 12h e das 14h às 18h,A combinar,5591998165560,5591998165560
Saúde & Bem-estar,Óticas,MAGUARI - Ótica Focus,"Lentes mono e multifocais, armações em acetato, TR90 e titânio, lentes de contato, normais e grau, agendamento de exame.",Conj. Maguari - Principal esquina da 14,Segunda a sexta das 8hh30 às 11h30 e das 16h às 18h30,Atende a domicílio,5591981602083,5591982126905
Saúde & Bem-estar,Óticas,TENONÉ - Ótica Forte,"Armações e lentes nacionais e importadas, lentes digitais grau e estética","Tenoné - Alacid Nunes, Box 3 - feira da 5a linha",Segunda a sexta das 8h30 às 12h e das 16h às 19h / Sábado das 8h30 às 12h,Atende a domicílio,5591989025977,5591989025977
Saúde & Bem-estar,Óticas,SATÉLITE - Ótica Fabinny,"Consulta oftalmológica, óculos de grau/sol, lentes digitais e lentes de contato","Conj. Satélite - WE 8, 752 - próximo da UBS",Segunda a sexta das 8h às 12h30 e das 15h às 1830 / sábado das 8h às 12h,Atende a domicílio,5591985017611,5591985017611
Saúde & Bem-estar,Produtos Naturais,SATÉLITE - Casa das ervas Satélite,"Produto naturais, ervas...","Conj. Satélite - SN 5, entre WE 8 e WE 9",Segunda a sábado das 8h às 12h e das 16h às 19h / Domingo 8h às 12h,Grátis no Satélite (a combinar nas demais localidades),5591985198484,5591985198484
Saúde & Bem-estar,Stúdio de Danças,"ESPAÇO VAGO para o seu negócio, Venha fazer parte da maior vitrine digital da região.",ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,5591985554004,5591985554004
Serviços,Assistência Técnica / Peças e acessórios,MAGUARI - Hraby Celular e Games,Games e assistência técnica de celulares,"Conj. Maguari - Principal, 3B",Segunda a sábado 8h30 às 20h30,Grátis,5591984939361,5591981495607
Serviços,Assistência Técnica / Peças e acessórios,MAGUARI - PROXX Informática,"Assstência em notebooks, PC e impressoras, acessórios",Conj. Maguari - Principal esquina da 7,Segunda a sábado das 8h às 12h e das 15h às 19h,Pesencial,5591981988787,5591998098504
Serviços,Assistência Técnica / Peças e acessórios,MAGUARI - Double Tech,Assistência e acessórios para Smartphones: Iphone e Android,Conj. Maguari - Principal na galeria do posto,Segunda a sábado das 9h às 13 e das 15h30 às 20h30,Retira e entrega grátis,5591985118282,5591989290909
Serviços,Assistência Técnica / Peças e acessórios,MAGUARI - Refrimar,Refrigeração e eletrica em geral.,Visita ao domicílio,Segunda a sábado das 7h às 19h,Domicílio,5591985904444,5591985904444
Serviços,Assistência Técnica / Peças e acessórios,MAGUARI - Junior Cell Variedades,"Assistência e acessórios para Smartphones: Iphone e Android, Xerox, papelaria...",,Segunda a sábado das 8h30 às 13h e das 16h às 20h / Domingo das 8h às 13h,,5591983481053,5591993138011
